time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.303443,-0.0324216,1.2535,-0.00632086,-0.0551865,-0.178794,0.30307,-0.0321376,1.25805,-0.442,0.008,0.234,0.495
1.77271e+09,0.30346,-0.0324684,1.24884,-0.00497627,-0.0606013,-0.185832,0.30307,-0.0321376,1.25805,-0.442,0.008,0.234,0.495
1.77271e+09,0.30346,-0.0324684,1.24884,-0.00497627,-0.0606013,-0.185832,0.30307,-0.0321376,1.25805,-0.442,0.008,0.234,0.495
1.77271e+09,0.303389,-0.0325424,1.24104,-0.00531322,-0.0619018,-0.186347,0.303224,-0.0320964,1.23953,-0.442,0.006,0.22,0.496
1.77271e+09,0.303383,-0.0326082,1.23335,-0.00708894,-0.0593933,-0.181779,0.303224,-0.0320964,1.23953,-0.442,0.006,0.22,0.496
1.77271e+09,0.303383,-0.0326082,1.23335,-0.00708894,-0.0593933,-0.181779,0.303224,-0.0320964,1.23953,-0.442,0.006,0.22,0.496
1.77271e+09,0.303428,-0.0326,1.22949,-0.00652147,-0.05565,-0.184999,0.303224,-0.0320964,1.23953,-0.442,0.006,0.22,0.496
1.77271e+09,0.303428,-0.0326,1.22949,-0.00652147,-0.05565,-0.184999,0.303224,-0.0320964,1.23953,-0.442,0.006,0.22,0.496
1.77271e+09,0.303295,-0.0327487,1.22185,-0.00924242,-0.0623954,-0.178413,0.302969,-0.0320531,1.21951,-0.442,0.004,0.22,0.497
1.77271e+09,0.303185,-0.0328936,1.21484,-0.00775117,-0.0529802,-0.185316,0.302969,-0.0320531,1.21951,-0.442,0.004,0.22,0.497
1.77271e+09,0.303185,-0.0328936,1.21484,-0.00775117,-0.0529802,-0.185316,0.302969,-0.0320531,1.21951,-0.442,0.004,0.22,0.497
1.77271e+09,0.30319,-0.0328294,1.21024,-0.0109836,-0.0566114,-0.183885,0.302969,-0.0320531,1.21951,-0.442,0.004,0.22,0.497
1.77271e+09,0.30319,-0.0328294,1.21024,-0.0109836,-0.0566114,-0.183885,0.302969,-0.0320531,1.21951,-0.442,0.004,0.22,0.497
1.77271e+09,0.303235,-0.0328267,1.20245,-0.00326105,-0.0606961,-0.182332,0.302686,-0.031964,1.2009,-0.442,0.008,0.228,0.495
1.77271e+09,0.303213,-0.032917,1.19539,-0.00869625,-0.0689687,-0.184971,0.302686,-0.031964,1.2009,-0.442,0.008,0.228,0.495
1.77271e+09,0.303213,-0.032917,1.19539,-0.00869625,-0.0689687,-0.184971,0.302686,-0.031964,1.2009,-0.442,0.008,0.228,0.495
1.77271e+09,0.303176,-0.0329612,1.19156,-0.0124913,-0.0531809,-0.183727,0.302686,-0.031964,1.2009,-0.442,0.008,0.228,0.495
1.77271e+09,0.303176,-0.0329612,1.19156,-0.0124913,-0.0531809,-0.183727,0.302686,-0.031964,1.2009,-0.442,0.008,0.228,0.495
1.77271e+09,0.303113,-0.0330142,1.1839,-0.00486835,-0.0579699,-0.184091,0.30245,-0.0318247,1.18083,-0.442,0.004,0.228,0.497
1.77271e+09,0.302902,-0.0329931,1.17625,-0.0117499,-0.0547741,-0.182833,0.30245,-0.0318247,1.18083,-0.442,0.004,0.228,0.497
1.77271e+09,0.302902,-0.0329931,1.17625,-0.0117499,-0.0547741,-0.182833,0.30245,-0.0318247,1.18083,-0.442,0.004,0.228,0.497
1.77271e+09,0.303001,-0.0328911,1.1717,0.000407316,-0.0532899,-0.186355,0.30245,-0.0318247,1.18083,-0.442,0.004,0.228,0.497
1.77271e+09,0.303001,-0.0328911,1.1717,0.000407316,-0.0532899,-0.186355,0.30245,-0.0318247,1.18083,-0.442,0.004,0.228,0.497
1.77271e+09,0.302843,-0.0329721,1.16467,-0.010761,-0.0615392,-0.184298,0.302293,-0.0315183,1.16237,-0.44,0.01,0.218,0.494
1.77271e+09,0.302868,-0.0332195,1.15697,-0.0120359,-0.0617501,-0.183445,0.302293,-0.0315183,1.16237,-0.44,0.01,0.218,0.494
1.77271e+09,0.302868,-0.0332195,1.15697,-0.0120359,-0.0617501,-0.183445,0.302293,-0.0315183,1.16237,-0.44,0.01,0.218,0.494
1.77271e+09,0.302787,-0.0332671,1.15233,-0.00792238,-0.0565807,-0.181562,0.302293,-0.0315183,1.16237,-0.44,0.01,0.218,0.494
1.77271e+09,0.302787,-0.0332671,1.15233,-0.00792238,-0.0565807,-0.181562,0.302293,-0.0315183,1.16237,-0.44,0.01,0.218,0.494
1.77271e+09,0.302726,-0.0333023,1.14546,-0.0101718,-0.0561364,-0.180126,0.302222,-0.0313585,1.14239,-0.44,0.006,0.228,0.496
